run_group,repeat,model_id,task_id,error,exit_code,stderr_tail
repeat-5x-remaining,3,kimi-k2.6-foundry,package_stats,Expecting value: line 1 column 1 (char 0),-1,
repeat-5x-remaining,3,kimi-k2.6-foundry,py_slugify,"HTTP 400 from https://<foundry-account-eastus2>.cognitiveservices.azure.com/openai/deployments/Kimi-K2.6-1/chat/completions?api-version=2025-04-01-preview: {""id"":""b4b5518bee0345c385d847204dc3e258"",""model"":""Kimi-K2.6"",""choices"":[{""index"":0,""message"":{""role"":""assistant"",""content"":""""},""finish_reason"":""content_filter"",""content_filter_results"":{""error"":{""code"":""content_filter"",""message"":""ResponsibleAI result indicated block action.""}}}],""usage"":{""prompt_tokens"":317,""completion_tokens"":779,""total_tokens"":1096},""created"":1780377244,""object"":""chat.completion"",""prompt_filter_results"":null}",-1,
repeat-5x-remaining,3,minimax-m2.5-foundry,json_patch,,1,"====================================================================== | ERROR: test_add_replace_remove_nested_values (test_solution.JsonPatchTests.test_add_replace_remove_nested_values) | ---------------------------------------------------------------------- | Traceback (most recent call last): |   File ""C:\Users\JISUNC~1\AppData\Local\Temp\json_patch-cfs40tyr\tests\test_solution.py"", line 9, in test_add_replace_remove_nested_values |     patched = apply_patch( |         doc, |     ...<4 lines>... |         ], |     ) |   File ""C:\Users\JISUNC~1\AppData\Local\Temp\json_patch-cfs40tyr\solution.py"", line 33, in apply_patch |     parent = parent[part] |              ~~~~~~^^^^^^ | TypeError: list indices must be integers or slices, not str |  | ---------------------------------------------------------------------- | Ran 2 tests in 0.003s |  | FAILED (errors=1) | "
repeat-5x-remaining,3,minimax-m2.5-foundry,markdown_toc,,1,"========================== | FAIL: test_level_two_and_three_only (test_solution.TocTests.test_level_two_and_three_only) | ---------------------------------------------------------------------- | Traceback (most recent call last): |   File ""C:\Users\JISUNC~1\AppData\Local\Temp\markdown_toc-zszxac3v\tests\test_solution.py"", line 9, in test_level_two_and_three_only |     self.assertEqual( |     ~~~~~~~~~~~~~~~~^ |         build_toc(md), |         ^^^^^^^^^^^^^^ |         ""- [Install Now!](#install-now)\n  - [Windows Setup](#windows-setup)\n- [API Reference](#api-reference)"", |         ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ |     ) |     ^ | AssertionError: '- [I[20 chars]l-now!)\n  - [Windows Setup](#windows-setup)\n[29 chars]nce)' != '- [I[20 chars]l-now)\n  - [Windows Setup](#windows-setup)\n-[28 chars]nce)' | - - [Install Now!](#install-now!) | ?                              - | + - [Install Now!](#install-now) |     - [Windows Setup](#windows-setup) |   - [API Reference](#api-reference) |  |  | ---------------------------------------------------------------------- | Ran 2 tests in 0.002s |  | FAILED (failures=1) | "
repeat-5x-remaining,3,minimax-m2.5-foundry,rate_limiter,,1,"====================================================================== | FAIL: test_window_reset (test_solution.RateLimiterTests.test_window_reset) | ---------------------------------------------------------------------- | Traceback (most recent call last): |   File ""C:\Users\JISUNC~1\AppData\Local\Temp\rate_limiter-4qft580x\tests\test_solution.py"", line 18, in test_window_reset |     self.assertTrue(limiter.allow(""a"", 5.0)) |     ~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^ | AssertionError: False is not true |  | ---------------------------------------------------------------------- | Ran 2 tests in 0.002s |  | FAILED (failures=1) | "
repeat-5x-remaining,3,glm-5.1-foundry,markdown_toc,,1,"====================================================================== | FAIL: test_duplicate_headings_get_suffix (test_solution.TocTests.test_duplicate_headings_get_suffix) | ---------------------------------------------------------------------- | Traceback (most recent call last): |   File ""C:\Users\JISUNC~1\AppData\Local\Temp\markdown_toc-9eywkhvg\tests\test_solution.py"", line 16, in test_duplicate_headings_get_suffix |     self.assertEqual(build_toc(md), ""- [Usage](#usage)\n- [Usage](#usage-1)\n  - [Usage](#usage-2)"") |     ~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ | AssertionError: '- [Usage](#usage)\n- [Usage](#usage-2)\n  - [Usage](#usage-3)' != '- [Usage](#usage)\n- [Usage](#usage-1)\n  - [Usage](#usage-2)' |   - [Usage](#usage) | - - [Usage](#usage-2) | ?                  ^ | + - [Usage](#usage-1) | ?                  ^ | -   - [Usage](#usage-3) | ?                    ^ | +   - [Usage](#usage-2) | ?                    ^ |  |  | ---------------------------------------------------------------------- | Ran 2 tests in 0.002s |  | FAILED (failures=1) | "
repeat-5x-remaining,4,kimi-k2.6-foundry,log_redaction,Expecting value: line 1 column 1 (char 0),-1,
repeat-5x-remaining,4,kimi-k2.6-foundry,markdown_toc,Expecting value: line 1 column 1 (char 0),-1,
repeat-5x-remaining,4,kimi-k2.6-foundry,py_slugify,Expecting value: line 1 column 1 (char 0),-1,
repeat-5x-remaining,4,minimax-m2.5-foundry,json_patch,,1,"====================================================================== | ERROR: test_add_replace_remove_nested_values (test_solution.JsonPatchTests.test_add_replace_remove_nested_values) | ---------------------------------------------------------------------- | Traceback (most recent call last): |   File ""C:\Users\JISUNC~1\AppData\Local\Temp\json_patch-ypdpkmz2\tests\test_solution.py"", line 9, in test_add_replace_remove_nested_values |     patched = apply_patch( |         doc, |     ...<4 lines>... |         ], |     ) |   File ""C:\Users\JISUNC~1\AppData\Local\Temp\json_patch-ypdpkmz2\solution.py"", line 33, in apply_patch |     parent = parent[part] |              ~~~~~~^^^^^^ | TypeError: list indices must be integers or slices, not str |  | ---------------------------------------------------------------------- | Ran 2 tests in 0.003s |  | FAILED (errors=1) | "
repeat-5x-remaining,4,minimax-m2.5-foundry,markdown_toc,,1,"========================== | FAIL: test_level_two_and_three_only (test_solution.TocTests.test_level_two_and_three_only) | ---------------------------------------------------------------------- | Traceback (most recent call last): |   File ""C:\Users\JISUNC~1\AppData\Local\Temp\markdown_toc-x9iiorr8\tests\test_solution.py"", line 9, in test_level_two_and_three_only |     self.assertEqual( |     ~~~~~~~~~~~~~~~~^ |         build_toc(md), |         ^^^^^^^^^^^^^^ |         ""- [Install Now!](#install-now)\n  - [Windows Setup](#windows-setup)\n- [API Reference](#api-reference)"", |         ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ |     ) |     ^ | AssertionError: '- [I[20 chars]l-now!)\n  - [Windows Setup](#windows-setup)\n[29 chars]nce)' != '- [I[20 chars]l-now)\n  - [Windows Setup](#windows-setup)\n-[28 chars]nce)' | - - [Install Now!](#install-now!) | ?                              - | + - [Install Now!](#install-now) |     - [Windows Setup](#windows-setup) |   - [API Reference](#api-reference) |  |  | ---------------------------------------------------------------------- | Ran 2 tests in 0.002s |  | FAILED (failures=1) | "
repeat-5x-remaining,4,minimax-m2.5-foundry,rate_limiter,,1,"====================================================================== | FAIL: test_window_reset (test_solution.RateLimiterTests.test_window_reset) | ---------------------------------------------------------------------- | Traceback (most recent call last): |   File ""C:\Users\JISUNC~1\AppData\Local\Temp\rate_limiter-a2nqccwt\tests\test_solution.py"", line 18, in test_window_reset |     self.assertTrue(limiter.allow(""a"", 5.0)) |     ~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^ | AssertionError: False is not true |  | ---------------------------------------------------------------------- | Ran 2 tests in 0.002s |  | FAILED (failures=1) | "
repeat-5x-remaining,4,glm-5.1-foundry,markdown_toc,,1,"====================================================================== | FAIL: test_duplicate_headings_get_suffix (test_solution.TocTests.test_duplicate_headings_get_suffix) | ---------------------------------------------------------------------- | Traceback (most recent call last): |   File ""C:\Users\JISUNC~1\AppData\Local\Temp\markdown_toc-cqgby1nd\tests\test_solution.py"", line 16, in test_duplicate_headings_get_suffix |     self.assertEqual(build_toc(md), ""- [Usage](#usage)\n- [Usage](#usage-1)\n  - [Usage](#usage-2)"") |     ~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ | AssertionError: '- [Usage](#usage)\n- [Usage](#usage-2)\n  - [Usage](#usage-3)' != '- [Usage](#usage)\n- [Usage](#usage-1)\n  - [Usage](#usage-2)' |   - [Usage](#usage) | - - [Usage](#usage-2) | ?                  ^ | + - [Usage](#usage-1) | ?                  ^ | -   - [Usage](#usage-3) | ?                    ^ | +   - [Usage](#usage-2) | ?                    ^ |  |  | ---------------------------------------------------------------------- | Ran 2 tests in 0.002s |  | FAILED (failures=1) | "
repeat-5x-remaining,5,kimi-k2.6-foundry,cart_discount,Expecting value: line 1 column 1 (char 0),-1,
repeat-5x-remaining,5,kimi-k2.6-foundry,markdown_toc,Expecting value: line 1 column 1 (char 0),-1,
repeat-5x-remaining,5,kimi-k2.6-foundry,package_stats,Expecting value: line 1 column 1 (char 0),-1,
repeat-5x-remaining,5,minimax-m2.5-foundry,json_patch,,1,"====================================================================== | ERROR: test_add_replace_remove_nested_values (test_solution.JsonPatchTests.test_add_replace_remove_nested_values) | ---------------------------------------------------------------------- | Traceback (most recent call last): |   File ""C:\Users\JISUNC~1\AppData\Local\Temp\json_patch-1z6pp2c3\tests\test_solution.py"", line 9, in test_add_replace_remove_nested_values |     patched = apply_patch( |         doc, |     ...<4 lines>... |         ], |     ) |   File ""C:\Users\JISUNC~1\AppData\Local\Temp\json_patch-1z6pp2c3\solution.py"", line 33, in apply_patch |     parent = parent[part] |              ~~~~~~^^^^^^ | TypeError: list indices must be integers or slices, not str |  | ---------------------------------------------------------------------- | Ran 2 tests in 0.003s |  | FAILED (errors=1) | "
repeat-5x-remaining,5,minimax-m2.5-foundry,markdown_toc,,1,"========================== | FAIL: test_level_two_and_three_only (test_solution.TocTests.test_level_two_and_three_only) | ---------------------------------------------------------------------- | Traceback (most recent call last): |   File ""C:\Users\JISUNC~1\AppData\Local\Temp\markdown_toc-arsuyxfi\tests\test_solution.py"", line 9, in test_level_two_and_three_only |     self.assertEqual( |     ~~~~~~~~~~~~~~~~^ |         build_toc(md), |         ^^^^^^^^^^^^^^ |         ""- [Install Now!](#install-now)\n  - [Windows Setup](#windows-setup)\n- [API Reference](#api-reference)"", |         ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ |     ) |     ^ | AssertionError: '- [I[20 chars]l-now!)\n  - [Windows Setup](#windows-setup)\n[29 chars]nce)' != '- [I[20 chars]l-now)\n  - [Windows Setup](#windows-setup)\n-[28 chars]nce)' | - - [Install Now!](#install-now!) | ?                              - | + - [Install Now!](#install-now) |     - [Windows Setup](#windows-setup) |   - [API Reference](#api-reference) |  |  | ---------------------------------------------------------------------- | Ran 2 tests in 0.001s |  | FAILED (failures=1) | "
repeat-5x-remaining,5,minimax-m2.5-foundry,rate_limiter,,1,"====================================================================== | FAIL: test_window_reset (test_solution.RateLimiterTests.test_window_reset) | ---------------------------------------------------------------------- | Traceback (most recent call last): |   File ""C:\Users\JISUNC~1\AppData\Local\Temp\rate_limiter-xa_ivm1u\tests\test_solution.py"", line 18, in test_window_reset |     self.assertTrue(limiter.allow(""a"", 5.0)) |     ~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^ | AssertionError: False is not true |  | ---------------------------------------------------------------------- | Ran 2 tests in 0.001s |  | FAILED (failures=1) | "
repeat-5x-remaining,5,glm-5.1-foundry,markdown_toc,,1,"====================================================================== | FAIL: test_duplicate_headings_get_suffix (test_solution.TocTests.test_duplicate_headings_get_suffix) | ---------------------------------------------------------------------- | Traceback (most recent call last): |   File ""C:\Users\JISUNC~1\AppData\Local\Temp\markdown_toc-4lnwcu49\tests\test_solution.py"", line 16, in test_duplicate_headings_get_suffix |     self.assertEqual(build_toc(md), ""- [Usage](#usage)\n- [Usage](#usage-1)\n  - [Usage](#usage-2)"") |     ~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ | AssertionError: '- [Usage](#usage)\n- [Usage](#usage-2)\n  - [Usage](#usage-3)' != '- [Usage](#usage)\n- [Usage](#usage-1)\n  - [Usage](#usage-2)' |   - [Usage](#usage) | - - [Usage](#usage-2) | ?                  ^ | + - [Usage](#usage-1) | ?                  ^ | -   - [Usage](#usage-3) | ?                    ^ | +   - [Usage](#usage-2) | ?                    ^ |  |  | ---------------------------------------------------------------------- | Ran 2 tests in 0.003s |  | FAILED (failures=1) | "
